ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"68.183.111.115","elite","AS14061","US","DigitalOcean, LLC","86","DigitalOcean, LLC","14061","socks4","75","2","2024-04-05T04:00:15.305Z","92","6098","6595"
"108.175.24.1","elite","AS33258","US","Computer Solutions","189","Computer Solutions","13135","socks4","3402","1","2024-04-05T04:00:15.212Z","100","48","48"
"103.66.232.5","elite","AS134014","IN","NET 4 U SERVICES","137","N/A","4145","socks4","75","2","2024-04-05T04:00:15.308Z","99","6669","6735"
"117.93.115.31","elite","AS4134","CN","Chinanet","194","Chinanet JS","28643","socks4","186","2","2024-04-05T04:00:15.315Z","69","4670","6805"
"185.220.226.108","elite","AS205585","TR","Noyan Abr Arvan Co. ( Private Joint Stock)","14","Noyan Abr Arvan Co. ( Private Joint Stock)","3128","socks4","132","3","2024-04-05T04:00:15.012Z","81","5436","6751"
"45.233.0.1","elite","AS267303","BR","Centro Oeste Provedor","207","Centro Oeste Provedor","26730","socks4","73","2","2024-04-05T04:00:15.407Z","99","6774","6819"
"62.82.107.247","elite","AS6739","ES","Ono","30","Calle Las Almas 8 Vinaroz Castellon -- Castellon","5678","socks4","71","2","2024-04-05T04:00:15.318Z","100","6732","6749"
"85.159.104.220","elite","AS34820","SK","Delta OnLine spol. s.r.o.","31","Lonler, s.r.o","4153","socks4","4203","2","2024-04-05T04:00:15.403Z","100","6728","6756"
"159.89.138.130","elite","AS14061","US","DigitalOcean, LLC","156","Digital Ocean","80","socks4","5197","2","2024-04-05T04:00:15.301Z","100","6654","6661"
"202.124.46.65","elite","AS9902","KH","NeocomISP Limited","209","NeocomISP Limited","4145","socks4","71","83","2024-04-05T04:00:14.917Z","99","6684","6756"
"104.17.37.235","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","72","1","2024-04-05T04:00:14.117Z","100","6799","6800"
"187.76.1.146","elite","AS7738","BR","V tal","208","V tal","8080","socks4","3099","2","2024-04-05T04:00:14.316Z","96","6481","6723"
"189.201.191.67","elite","AS28438","MX","IP Matrix, S.A. de C.V.","188","IP Matrix, S.A. de C.V","4145","socks4","587","1","2024-04-05T04:00:14.105Z","99","6717","6782"
"139.159.138.30","elite","AS55990","CN","Huawei Cloud Service data center","257","Huawei Cloud Service","7890","socks5","2799","3","2024-04-05T04:00:14.305Z","87","5872","6742"
"149.28.44.246","elite","AS20473","US","The Constant Company","81","Vultr Holdings, LLC","10041","socks4","72","8","2024-04-05T04:00:14.206Z","81","5437","6730"
